spygen_code,label,prediction,residual
SPY211048,1,1,0
SPY211071,0,0,0
SPY231664,1,1,0
SPY231886,0,0,0
SPY212712,1,1,0
SPY202493,0,0,0
SPY231765,0,0,0
SPY201176,0,0,0
SPY211060,1,1,0
SPY211174,1,1,0
SPY192310,1,1,0
SPY201163,1,1,0
SPY231716,0,0,0
SPY231713,0,0,0
SPY211289,0,0,0
SPY231762,0,0,0
SPY211303,0,0,0
SPY210681,0,0,0
SPY212718,1,1,0
SPY231669,1,1,0
SPY231766,0,0,0
SPY211163,1,0,-1
SPY211059,1,1,0
SPY210688,0,0,0
SPY231659,0,0,0
SPY231796,0,0,0
SPY231717,0,1,1
SPY202510,0,0,0
SPY211184,1,1,0
SPY231907,0,0,0
SPY210666,0,0,0
SPY231885,0,1,1
SPY231723,0,1,1
SPY211049,1,1,0
SPY211169,1,1,0
SPY231763,0,0,0
SPY211304,0,0,0
SPY201162,0,0,0
SPY231764,0,0,0
SPY211299,0,0,0
SPY212719,1,1,0
SPY212710,1,1,0
SPY210691,0,0,0
SPY231668,0,0,0
SPY231887,1,1,0
SPY231900,0,0,0
SPY211072,0,0,0
SPY231657,0,0,0
SPY181699,1,1,0
SPY231655,0,0,0
SPY231726,0,1,1
SPY212711,1,1,0
SPY212758,1,1,0
SPY200806,1,1,0
SPY231715,0,0,0
SPY210685,0,0,0
SPY211180,1,1,0
SPY201180,0,0,0
SPY231767,0,0,0
SPY210682,0,0,0
SPY211062,1,1,0
SPY212717,1,1,0
SPY231719,0,1,1
SPY211181,1,1,0
SPY211055,1,1,0
SPY211054,1,1,0
SPY202515,0,0,0
SPY231661,1,1,0
SPY231724,0,1,1
SPY211070,0,1,1
SPY231908,0,0,0
SPY231899,0,0,0
SPY211290,0,0,0
SPY231660,1,1,0
SPY201190,0,0,0
SPY212714,1,1,0
SPY211172,1,1,0
SPY210690,0,0,0
SPY210686,0,0,0
SPY200807,1,1,0
SPY211263,0,0,0
SPY211177,1,1,0
SPY231656,0,0,0
SPY211138,1,1,0
SPY211173,1,1,0
SPY231714,0,0,0
SPY211168,1,1,0
SPY202499,0,0,0
SPY231901,0,0,0
SPY210694,0,0,0
SPY231666,0,0,0
SPY210692,0,0,0
SPY211309,0,0,0
SPY201179,0,0,0
SPY212715,1,1,0
SPY201153,0,0,0
SPY201164,0,0,0
SPY210646,0,0,0
SPY211069,0,0,0
SPY231662,1,1,0
SPY211178,1,1,0
SPY231888,1,1,0
SPY231667,0,0,0
SPY231797,0,0,0
SPY211182,1,1,0
SPY231663,1,1,0
SPY231725,0,1,1
SPY210684,0,0,0
SPY211310,0,0,0
SPY212756,1,1,0
SPY210689,0,0,0
SPY211183,1,1,0
SPY211170,1,1,0
SPY201186,0,0,0
SPY231798,0,0,0
SPY231902,0,0,0
SPY231720,0,0,0
SPY201161,0,0,0
SPY202492,0,0,0
SPY212716,1,1,0
SPY231665,0,0,0
SPY210693,0,0,0
SPY210687,0,0,0
SPY211307,0,0,0
SPY201958,0,0,0
SPY211301,0,0,0
SPY231670,1,1,0
SPY231721,0,0,0
SPY231722,0,0,0
SPY231794,0,0,0
SPY231718,0,1,1
SPY212759,1,1,0
SPY212713,1,1,0
SPY211050,1,1,0
SPY231658,0,0,0
